Key,T1,T2,T3
0_0,0.8148589,0.4982136,0.27252728
0_1,0.91839945,0.30945715,0.20146789
0_2,0.8475948,0.37012032,0.36871785
0_3,0.6769661,0.47038427,0.5409348
0_4,0.41666484,0.5359514,0.72395945
0_5,0.6715508,0.47224468,0.5604529
0_6,0.5883198,0.5876537,0.5465157
0_7,0.33695978,0.6918104,0.61781055
0_8,0.6690529,0.5383193,0.47839063
0_9,0.44352195,0.47261727,0.74584204
0_10,0.5551592,0.5525746,0.61225295
0_11,0.65589017,0.5776097,0.4817985
0_12,0.61036485,0.70571214,0.34450254
1_0,0.5576635,0.5245985,0.6343264
1_1,0.32525524,0.55243105,0.74711585
1_2,0.7469317,0.52224493,0.3321732
1_3,0.449352,0.70568246,0.532873
