Key,T1,T2,T3,T4
0_0,0.579142,0.348914,0.47563672,0.5353239
1_0,0.45329142,0.4710947,0.52403045,0.5320428
2_0,0.6210783,0.37763673,0.5104603,0.4022589
3_0,0.68206555,0.41597024,0.3854661,0.39316183
4_0,0.4491742,0.45515406,0.5133827,0.5534583
5_0,0.44310638,0.44703785,0.534745,0.54611
6_0,0.5888416,0.3577427,0.43986896,0.5635783
7_0,0.68819314,0.4214958,0.3949137,0.4021182
8_0,0.6545349,0.39988622,0.4845903,0.39381328
9_0,0.6776612,0.408435,0.4011111,0.4310385
10_0,0.59284294,0.41990682,0.4758994,0.48230332
11_0,0.5817365,0.40903276,0.47552976,0.50539696
12_0,0.6240015,0.39327696,0.4561389,0.4693223
13_0,0.6249337,0.4077045,0.4591754,0.46327376
14_0,0.6071029,0.40097886,0.45939368,0.48910534
15_0,0.60234225,0.3963971,0.47652784,0.48336515
16_0,0.5782081,0.43407592,0.47761908,0.4861196
17_0,0.578598,0.4275697,0.48133948,0.489176
18_0,0.5663288,0.423174,0.47263238,0.50879455
19_0,0.56008124,0.41510728,0.49341735,0.5036261
20_0,0.57013154,0.41417873,0.47812253,0.51004124
21_0,0.56453335,0.4090148,0.49592805,0.50518966
22_0,0.6746252,0.32481295,0.39503253,0.50911313
23_0,0.76854724,0.38895822,0.3429973,0.34424216
24_0,0.73787093,0.36271113,0.4390372,0.3312139
25_0,0.620071,0.36167017,0.4922268,0.44432664
26_0,0.46932915,0.27784878,0.37779346,0.6369108
27_0,0.7639656,0.37191638,0.34601095,0.37378013
28_0,0.628721,0.46915847,0.3678378,0.47455394
29_0,0.6802318,0.5101415,0.40429202,0.30540112
30_0,0.60609126,0.3981989,0.46332392,0.4898459
31_0,0.60312253,0.39353776,0.47855762,0.4852163
32_0,0.495185,0.32444495,0.48291415,0.62189656
33_0,0.62131906,0.40981868,0.4609573,0.46401644
34_0,0.57004774,0.37600666,0.5720355,0.42250225
35_0,0.57813144,0.41976035,0.46997115,0.5020324
36_0,0.571708,0.4150684,0.48937556,0.49732912
37_0,0.5574438,0.47250912,0.45282322,0.4847449
38_0,0.48249674,0.34328514,0.48656225,0.62439096
39_0,0.47752234,0.3839474,0.4764891,0.61295027
40_0,0.54854363,0.39341605,0.5684105,0.44414937
41_0,0.59236777,0.42734897,0.47175208,0.4775182
42_0,0.5357622,0.44483852,0.5480083,0.43450412
43_0,0.5658224,0.48978755,0.45116708,0.45623204
44_0,0.47039238,0.3443226,0.48868236,0.6286758
45_0,0.5329416,0.3981877,0.5759359,0.4473793
